2015-2016	2016-2017	2017-2018	Académie	Adresse	Appellation officielle	Code département	Code postal	Commune	Département	Etat établissement	Latitude	Lieu dit	Longitude	Nombre d'élèves 2015-2016	Nombre d'élèves 2016-2017	Nombre d'élèves 2017-2018	Numéro d'école	Patronyme uai	Secteur d'enseignement	code région	libellé région
yes	yes	no	BORDEAUX	Pomerede	Ecole primaire de Saint-Romain-et-Saint-Clément 		24800	Saint-Romain-et-Saint-Clément						20.0	17.0		0240807X		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	4 rue des Charmilles	Ecole élémentaire Les Maurilloux 		24750	Trélissac						145.0			0240920V		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	BORDEAUX	Rue Aristide Briand	Ecole R.Desmaison 		24100	Bergerac						151.0	180.0		0240955H		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	6 rue André Rousseau	Ecole élémentaire de la Force 		24130	La Force						169.0			0240990W		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	BORDEAUX	4 place de l'Eglise	Ecole maternelle du Buisson-de-Cadouin 		24480	Le Buisson-de-Cadouin						49.0	49.0		0241013W		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	Route d'Angouleme	Ecole maternelle de Javerlhac-et-la-Chapelle-Saint-Robert 		24300	Javerlhac-et-la-Chapelle-Saint-Robert						19.0			0241115G		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	Rue Almunia de San Jan	Ecole maternelle d'Agonac 		24460	Agonac						66.0			0241123R		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	Place Liberté	Ecole maternelle de Belvès 		24170	Belvès						69.0			0241133B		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	BESANCON	3 rue de l'Eglise	Ecole intercommunale 		25380	Chamesey						67.0	63.0		0250343M		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	BESANCON	Route Nationale	Ecole élémentaire de Cour-Saint-Maurice 		25380	Cour-Saint-Maurice						12.0			0250395U		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	yes	no	AMIENS	11 rue de Champagne	Ecole élémentaire de Passy-sur-Marne 		2850	Passy-sur-Marne						25.0	20.0		0020894L		PUBLIC	32	Hauts-de-France
yes	yes	no	AMIENS	9 rue du Châtelet	Ecole élémentaire de Jaulgonne 		2850	Jaulgonne						28.0	45.0		0020944R		PUBLIC	32	Hauts-de-France
yes	yes	no	AMIENS	Rue de l'église	Ecole Jacques Prévert 		2100	Saint-Quentin						69.0	67.0		0021699L		PUBLIC	32	Hauts-de-France
yes	yes	no	CAEN	Le bourg	Ecole maternelle de Lison 		14330	Lison						41.0	39.0		0140210C		PUBLIC	28	Normandie
yes	yes	no	BESANCON	Le village	Ecole de Vauclusotte 		25380	Vauclusotte						11.0	11.0		0250935F		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	GRENOBLE	Le village	Ecole de Bouvières 		26460	Bouvières						9.0			0260138J		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	GRENOBLE	29 rue Albert Thomas	Ecole maternelle Jules Ferry 		26000	Valence						78.0			0260659A		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	REIMS	Place de la Mairie	Ecole maternelle de Recy 		51520	Recy						44.0			0511234P		PUBLIC	44	Grand-Est
yes	yes	no	REIMS	1 Grande rue	Ecole maternelle de Villers-Franqueux 		51220	Villers-Franqueux						22.0	20.0		0511831N		PUBLIC	44	Grand-Est
yes	no	no	REIMS	Rue Basse	Ecole maternelle Les Carrières 		51150	Vraux						38.0			0512106M		PUBLIC	44	Grand-Est
yes	yes	no	REIMS	Rue Jules Ferry	Ecole maternelle Mermoz 		52300	Joinville						53.0	58.0		0520103E		PUBLIC	44	Grand-Est
yes	no	no	REIMS	3 rue de la Montagné	Ecole primaire de Condes 		52000	Condes						16.0			0520609E		PUBLIC	44	Grand-Est
yes	yes	no	REIMS	Avenue de Verdun	Ecole de Roches-Bettaincourt 		52270	Roches-Bettaincourt	Haute-Marne		48.165110		5.346930	28.0	21.0		0520909F		PUBLIC	44	Grand-Est
yes	no	no	REIMS	77 rue de Verdun	École élémentaire	52	52800	Nogent	Haute-Marne		48.024380		5.335760	62.0			0521077N		PUBLIC	44	Grand-Est
yes	no	no	RENNES	Rue Pierre Gineste	Ecole primaire Pierre Gineste 		22330	Collinée						103.0			0221482S		PUBLIC	53	Bretagne
yes	yes	no	RENNES	23 rue des écoles	Ecole maternelle de Ploumilliau 		22300	Ploumilliau						68.0	61.0		0221602X		PUBLIC	53	Bretagne
yes	no	no	BORDEAUX	74 boulevard Ampère	Ecole élémentaire d'application Clos Chassaing 		24000	Périgueux						192.0			0240271P		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	19 rue Emile Zola	Ecole maternelle Alba 		24100	Bergerac						64.0			0240304A		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	Le bourg	Ecole élémentaire de Saint-Cernin-de-l'Herm 		24550	Saint-Cernin-de-l'Herm						18.0			0240334H		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	BORDEAUX	Le bourg	Ecole maternelle de Queyssac 		24140	Queyssac						20.0	18.0		0240383L		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	BORDEAUX	Le bourg	Ecole élémentaire de Quinsac 		24530	Quinsac						27.0	23.0		0240402G		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	Le bourg	Ecole de Saint-Front-d'Alemps 		24460	Saint-Front-d'Alemps						20.0			0240403H		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	CAEN	23 rue Bosnières	Ecole maternelle Bosnières 		14000	Caen						112.0	101.0		0140379L		PUBLIC	28	Normandie
yes	no	no	CAEN	65 avenue de la Libération	Ecole maternelle Pigacière 		14000	Caen						72.0			0140421G		PUBLIC	28	Normandie
yes	yes	no	CAEN	4 rue du Maréchal Foch	Ecole maternelle Maréchal Foch 		14700	Falaise						37.0	41.0		0140643Y		PUBLIC	28	Normandie
yes	yes	no	CAEN	Le bourg	Ecole élémentaire Les Roches-Feuilles 		14700	La Hoguette						77.0	76.0		0140676J		PUBLIC	28	Normandie
yes	no	no	CAEN	6 rue Neuve	Ecole élémentaire la Varende 		14110	Condé-sur-Noireau						106.0			0141377W		PUBLIC	28	Normandie
yes	no	no	CAEN	9 ter rue de la Haie Vigne	Ecole maternelle Haie Vigne 		14000	Caen						66.0			0141563Y		PUBLIC	28	Normandie
yes	yes	no	CAEN	Rue de Beauvais	Ecole maternelle Argouges 		14400	Bayeux						82.0	84.0		0141691M		PUBLIC	28	Normandie
yes	yes	no	CAEN	Le bourg	Ecole maternelle d'Esquay-Notre-Dame 		14210	Esquay-Notre-Dame						61.0	58.0		0142016R		PUBLIC	28	Normandie
yes	no	no	TOULOUSE	7 rue Xavier Darasse	Ecole maternelle Limayrac Jérôme Pugens 		31500	Toulouse						36.0			0312623H		PUBLIC	76	Occitanie
yes	no	no	TOULOUSE	Le village	Ecole Saint-Creac 		32380	Saint-Créac						19.0			0320247V		PUBLIC	76	Occitanie
yes	yes	no	TOULOUSE	Le village	Ecole Cahuzac Adour 		32400	Cahuzac-sur-Adour						19.0	21.0		0320453U		PUBLIC	76	Occitanie
yes	yes	no	TOULOUSE	Le village	Ecole élémentaire de Castéra-Lectourois 		32700	Castéra-Lectourois						17.0	22.0		0320464F		PUBLIC	76	Occitanie
yes	no	no	BORDEAUX	Avenue Louis Lescure	Ecole élémentaire Yves Peron 		24750	Boulazac						189.0			0240584E		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	BORDEAUX	Le bourg	Ecole élémentaire de Saint-Martial-Viveyrol 		24320	Saint-Martial-Viveyrol						24.0	24.0		0240632G		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	BORDEAUX	6 rue Fénelon	Ecole élémentaire du Buisson-de-Cadouin 		24480	Le Buisson-de-Cadouin						61.0	73.0		0240682L		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	Le bourg	Ecole élémentaire de Veyrignac 		24370	Veyrignac						25.0			0240716Y		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	BORDEAUX	9 rue Eugène Leroy	Ecole maternelle d'Atur 		24750	Atur						50.0	48.0		0241117J		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BESANCON	3 place Francois-Xavier Joubert	Ecole maternelle de Fournet-Blancheroche 		25140	Fournet-Blancheroche						14.0			0250495C		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	yes	no	CAEN	Le bourg	Ecole maternelle de Villers-Canivet 		14420	Villers-Canivet						94.0	86.0		0140671D		PUBLIC	28	Normandie
yes	yes	no	CLERMONT-FERRAND	Le bourg	Ecole de Pers 		15290	Pers						13.0	12.0		0150174H		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	CAEN	Le bourg	Ecole maternelle de Genneville 		14600	Genneville						19.0	26.0		0142135V		PUBLIC	28	Normandie
yes	no	no	CAEN	11 rue de Creuilly	Ecole maternelle de Martragny 		14740	Martragny						53.0			0142157U		PUBLIC	28	Normandie
yes	no	no	CLERMONT-FERRAND	Le bourg	Ecole de Cros-de-Montvert 		15150	Cros-de-Montvert						12.0			0150311G		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	CLERMONT-FERRAND	24 avenue Jean Baptiste Veyre	Ecole maternelle Jean Baptiste Veyre 		15000	Aurillac						44.0			0150425F		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	CLERMONT-FERRAND	La Pradelle	Ecole maternelle la Pradelle 		15130	Saint-Simon						34.0	37.0		0150692W		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	CLERMONT-FERRAND	13 boulevard de Courtais	Ecole maternelle Marie Laurencin 		3000	Moulins						27.0	22.0		0030330T		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	TOULOUSE	Rue Ernest Vila	Ecole élémentaire Marianne 		32000	Auch						51.0	56.0		0320585M		PUBLIC	76	Occitanie
yes	no	no	NANCY-METZ	6 rue des Pressoirs	Ecole maternelle de Longeaux 		55500	Longeaux						30.0			0550991D		PUBLIC	44	Grand-Est
yes	yes	no	POITIERS	Le bourg	Ecole de Pillac 		16390	Pillac						21.0	24.0		0160197C		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	CLERMONT-FERRAND	10 rue Jean Epinat	Ecole maternelle Les Darcins 		3300	Cusset						75.0	69.0		0030616D		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	CLERMONT-FERRAND	8 rue de la Mairie	Ecole élémentaire de Bert 		3130	Bert						18.0	14.0		0030740N		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	AIX-MARSEILLE	Boulevard Pasteur	Ecole maternelle la Farandole 		5200	Embrun						77.0	78.0		0050153P		PUBLIC	93	Provence-Alpes-Côte-d'Azur
yes	no	no	DIJON	Place de l'Hôtel de Ville	Ecole maternelle de Recey-sur-Ource 		21290	Recey-sur-Ource						28.0			0212101V		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	RENNES	2 rue de la corniche	Ecole maternelle Cesson Bourg 		22000	Saint-Brieuc						63.0			0220484G		PUBLIC	53	Bretagne
yes	yes	no	RENNES	2 impasse des écoles	Ecole maternelle la Petite mer 		56670	Riantec						92.0	82.0		0560739Z		PUBLIC	53	Bretagne
yes	yes	no	RENNES	Rue des églantines	Ecole maternelle Marcel collet 		56300	Pontivy						73.0	78.0		0561415J		PUBLIC	53	Bretagne
yes	yes	no	RENNES	Rue de la Bollardière	Ecole maternelle Kerfichant 		56100	Lorient						76.0	76.0		0561725W		PUBLIC	53	Bretagne
yes	no	no	NANCY-METZ	14 rue de l'école	Ecole élémentaire de Rémering 		57550	Rémering						17.0			0570406G		PUBLIC	44	Grand-Est
yes	yes	no	NICE	Rue H.passeron	Ecole maternelle groupe Ricolfi 1 		6390	Contes						72.0	72.0		0060231U		PUBLIC	93	Provence-Alpes-Côte-d'Azur
yes	no	no	RENNES	5 rue Yves Le Bitter	Ecole maternelle Marcel Le Roy 		22470	Plouézec						86.0			0221474H		PUBLIC	53	Bretagne
yes	yes	no	BORDEAUX	Le bourg	Ecole élémentaire de Molières 		24480	Molières						22.0	15.0		0240180R		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	ROUEN	Le bourg	Ecole élémentaire de Saint-Mards-de-Fresne 		27230	Saint-Mards-de-Fresne						21.0	21.0		0270336U		PUBLIC	28	Normandie
yes	yes	no	ROUEN	24 rue de l'Ecole	Ecole élémentaire des Authieux 		27220	Les Authieux						55.0	42.0		0270365A		PUBLIC	28	Normandie
yes	no	no	BORDEAUX	Rue Clos Chassaing	Ecole maternelle d'application Clos Chassaing 		24000	Périgueux						114.0			0240296S		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	4 rue des Charmilles	Ecole maternelle Claudine Gerbeau 		24750	Trélissac						59.0			0240301X		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	BORDEAUX	Le bourg	Ecole de Biron 		24540	Biron						17.0	10.0		0240313K		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	BORDEAUX	8 boulevard André Dupuy	Ecole élémentaire d'Excideuil 		24160	Excideuil						109.0			0240419A		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	BORDEAUX	9 rue Eugène Leroy	Ecole élémentaire d'Atur 		24750	Atur						132.0	121.0		0240582C		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	REIMS	9 Grande rue	Ecole primaire de Bernon 		10130	Bernon						14.0			0100144C		PUBLIC	44	Grand-Est
yes	no	no	REIMS	4 rue Jeanne d'Arc	Ecole primaire de Chaudrey 		10240	Chaudrey						18.0			0100198L		PUBLIC	44	Grand-Est
yes	no	no	REIMS	9 rue Eugénie Geoffroy	Ecole maternelle d'Estissac 		10190	Estissac						69.0			0100250T		PUBLIC	44	Grand-Est
yes	no	no	REIMS	5 Route d'Estissac	Ecole maternelle de Bercenay-en-Othe 		10190	Bercenay-en-Othe						139.0			0100924A		PUBLIC	44	Grand-Est
yes	no	no	ORLEANS-TOURS	113 rue de Chantaloup	Ecole maternelle de Marcilly-en-Villette 		45240	Marcilly-en-Villette						70.0			0451199J		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	ORLEANS-TOURS	Rue des écoles	Ecole maternelle d'Outarville 		45480	Outarville						49.0			0451311F		PUBLIC	24	Centre-Val-de-Loire
yes	yes	no	TOULOUSE	Le bourg	Ecole primaire de Montcabrier 		46700	Montcabrier						30.0	17.0		0460227X		PUBLIC	76	Occitanie
yes	no	no	TOULOUSE	Le bourg	Ecole primaire de Condat 		46110	Condat						39.0			0460271V		PUBLIC	76	Occitanie
yes	no	no	TOULOUSE	Le bourg	Ecole maternelle d'Aynac 		46120	Aynac						31.0			0460401L		PUBLIC	76	Occitanie
yes	yes	no	TOULOUSE	Le bourg	Ecole maternelle de Belmontet 		46800	Belmontet						18.0	15.0		0460419F		PUBLIC	76	Occitanie
yes	yes	no	TOULOUSE	Le bourg	Ecole maternelle des Quatre-Routes-du-Lot 		46110	Les Quatre-Routes-du-Lot						31.0	38.0		0460600C		PUBLIC	76	Occitanie
yes	yes	no	ORLEANS-TOURS	9 rue de l'église	Ecole élémentaire Bonce 		28150	Boncé						73.0	49.0		0280156T		PUBLIC	24	Centre-Val-de-Loire
yes	yes	no	ORLEANS-TOURS	1 avenue de la République	Ecole primaire Charlemagne 		28600	Luisant						111.0	111.0		0280285H		PUBLIC	24	Centre-Val-de-Loire
yes	yes	no	ORLEANS-TOURS	13 Route de Boisbelle	Ecole maternelle d'Henrichemont 		18250	Henrichemont						64.0	59.0		0180451T		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	ORLEANS-TOURS	Breuil	Ecole maternelle Le Breuil 		18400	Saint-Florent-sur-Cher						63.0			0180588S		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	LA REUNION	Rue Louis Aragon	Ecole maternelle Françoise Dolto 		97420	Le Port						188.0			9740951R		PUBLIC	4	La-Réunion
yes	no	no	MAYOTTE	Labatoir 1 la Ferme	Ecole élémentaire Labattoir 1 la Ferme 		97615	Dzaoudzi						166.0			9760022V		PUBLIC	6	Mayotte
yes	no	no	MAYOTTE	Bandrele	Ecole élémentaire Bandrele Village 		97660	Bandrele	Mayotte		-12.908750		45.195290	5.0			9760028B		PUBLIC	6	Mayotte
yes	no	no	MAYOTTE	Kani Kéli	École élémentaire de Kani Bé de Kani Keli		97625	Kani Kéli	Mayotte					5.0			9760058J		PUBLIC	6	Mayotte
yes	no	no	REIMS	6 rue Gambetta	Ecole maternelle Gambetta 		8000	Villers-Semeuse						42.0			0080345G		PUBLIC	44	Grand-Est
yes	no	no	REIMS	3 Grande rue	Ecole élémentaire de Roizy 		8190	Roizy						47.0			0080520X		PUBLIC	44	Grand-Est
yes	yes	no	TOULOUSE	Hameau d'Espies	Ecole de Boussenac 		9320	Boussenac						20.0	21.0		0090137A		PUBLIC	76	Occitanie
yes	no	no	POITIERS	18 rue des écoles	Ecole élémentaire Jules Ferry 		17200	Royan						115.0			0170589Y		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	MONTPELLIER	1  RUE RABELAIS	Ecole primaire la Prade	11	11000	Carcassonne	Aude	OUVERT	43.21789017331121		2.3571295888265107	96.0	60.0		0110864E	LA PRADE	PUBLIC	76	Occitanie
yes	yes	no	TOULOUSE	Rue Gonzague Florens	Ecole Prosper Mérimée 		12320	Conques						13.0	8.0		0120338C		PUBLIC	76	Occitanie
yes	yes	no	TOULOUSE	Route Sangayrac	Ecole maternelle de Montbazens 		12220	Montbazens						42.0	37.0		0120475B		PUBLIC	76	Occitanie
yes	yes	no	ORLEANS-TOURS	Place Lucien Gigaud	Ecole Lucien Gigaud 		41400	Bourré						28.0	26.0		0410098J		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	LIMOGES	24 rue du Mouricou	Ecole maternelle Marcelle Bergeal 		19300	Égletons						57.0			0190375E		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	LIMOGES	Le bourg	Ecole élémentaire de Chameyrat 		19330	Chameyrat						53.0			0190547S		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	DIJON	2 Grande rue	Ecole RPI 		21210	Villargoix						14.0			0210472Z		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	yes	no	DIJON	8 Route de Genlis	Ecole élémentaire RPI 		21110	Varanges	Côte-d'Or		47.230450		5.195930	22.0	20.0		0210509P		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	MAYOTTE											5.0			9760237D		PUBLIC	6	Mayotte
yes	yes	no	REIMS	1 rue Pierre de Celle	Ecole maternelle Montier la Celle 		10120	Saint-André-les-Vergers						133.0	134.0		0100796L		PUBLIC	44	Grand-Est
yes	no	no	POITIERS	23 rue de la Terrasse	Ecole maternelle Jules Ferry 		17200	Royan						55.0			0171051A		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	ORLEANS-TOURS	Ste Solange	Ecole maternelle de Sainte-Solange 		18220	Sainte-Solange						42.0			0180779Z		PUBLIC	24	Centre-Val-de-Loire
yes	yes	no	TOULOUSE	Boyne	Ecole maternelle Boyne 		12640	Rivière-sur-Tarn						20.0	12.0		0120585W		PUBLIC	76	Occitanie
yes	no	no	LYON	18 place Berthelot	Ecole maternelle Berthelot 		42300	Roanne						72.0			0420322X		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	LYON	Place Larochette	Ecole maternelle Larochette 		42300	Roanne						71.0			0420327C		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	DIJON	5 rue des Rosiers	Ecole maternelle de Villers-les-Pots 		21130	Villers-les-Pots						54.0	58.0		0211333K		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	DIJON	4 bis rue du Marais	Ecole maternelle de Magny-sur-Tille 		21110	Magny-sur-Tille						38.0			0211891S		PUBLIC	27	Bourgogne-et-Franche-Comté
yes	no	no	ORLEANS-TOURS	Rue du Lièvre d'Or	Ecole maternelle Croix Tienac 		28100	Dreux						69.0			0280792J		PUBLIC	24	Centre-Val-de-Loire
yes	yes	no	RENNES	75 rue Fontaine Blanche	Ecole maternelle Ferdinand Buisson 		29800	Landerneau						66.0	68.0		0290512Z		PUBLIC	53	Bretagne
yes	yes	no	TOULOUSE	Le bourg	Ecole de Saint-Symphorien-de-Thénières 		12460	Saint-Symphorien-de-Thénières						14.0	7.0		0120719S		PUBLIC	76	Occitanie
yes	yes	no	LIMOGES	2 carrefour carriven	Ecole élémentaire Pont Cardinal 		19100	Brive-la-Gaillarde						119.0	105.0		0190145E		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	LIMOGES	Le bourg	Ecole élémentaire de Sarroux 		19110	Sarroux						39.0	35.0		0190510B		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	RENNES	Rue Mathurin Meheut	Ecole maternelle Auguste Dupouy 		29760	Penmarch						53.0	43.0		0291163G		PUBLIC	53	Bretagne
yes	yes	no	ORLEANS-TOURS	Rue Charles Migraine	Ecole élémentaire Louis Dezelot 1 		18400	Saint-Florent-sur-Cher						154.0	164.0		0180234G		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	LYON	7 rue des Monnaires	Ecole maternelle chemin des Monnaires 		42380	Saint-Bonnet-le-Château						82.0			0420522P		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	LYON	23 rue Ambroise Paré	Ecole maternelle Solaure 		42100	Saint-Étienne						98.0	114.0		0420673D		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	LYON	Le bourg	Ecole Le Bourg 		42110	Sainte-Foy-Saint-Sulpice						62.0	51.0		0420702K		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	LYON	50 avenue Alsace Lorraine	Ecole maternelle Château Lacheze 		42600	Montbrison						70.0			0420928F		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	LYON	59 rue du Onze Novembre	Ecole maternelle R. du 11 Novembre 		42450	Sury-le-Comtal						72.0	74.0		0420933L		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	RENNES	12 rue du Lycée	Ecole élémentaire Jules Ferry 		29000	Quimper						44.0	40.0		0290790B		PUBLIC	53	Bretagne
yes	yes	no	NICE	Place Lucien Rousset	Ecole Castillon 		6500	Castillon						11.0	10.0		0061755A		PUBLIC	93	Provence-Alpes-Côte-d'Azur
yes	yes	no	AIX-MARSEILLE	12 place des Carmes	Ecole maternelle Carmes  		13800	Istres						54.0	33.0		0130487J		PUBLIC	93	Provence-Alpes-Côte-d'Azur
yes	no	no	LYON	5 rue Raoul Follereau	Ecole maternelle Cotonne 		42100	Saint-Étienne						107.0			0422101F		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	CLERMONT-FERRAND	Le bourg	Ecole élémentaire de Lavoûte-sur-Loire 		43800	Lavoûte-sur-Loire						36.0	42.0		0430413R		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	POITIERS	Le bourg	Ecole de Nonac 		16190	Nonac						27.0			0160196B		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	POITIERS	Le bourg	Ecole élémentaire de Rouzède 		16220	Rouzède						17.0	14.0		0160561Y		PUBLIC	75	Nouvelle-Aquitaine
yes	yes	no	GRENOBLE	Cité de Bernaudin	Ecole Bernaudin 		7100	Annonay						34.0	22.0		0071178T		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	TOULOUSE	1 place des écoles	Ecole primaire de la Bastide-de-Besplas 		9350	La Bastide-de-Besplas						25.0	19.0		0090111X		PUBLIC	76	Occitanie
yes	no	no	REIMS	Rue du Donjon	Ecole primaire de Champignol-lez-Mondeville 		10200	Champignol-lez-Mondeville						35.0			0100095Z		PUBLIC	44	Grand-Est
yes	no	no	REIMS	36 Route Principale	Ecole primaire des Croûtes 		10130	Les Croûtes						14.0			0100227T		PUBLIC	44	Grand-Est
yes	yes	no	REIMS	Rue du Four	Ecole maternelle de Pont-sur-Seine 		10400	Pont-sur-Seine						47.0	50.0		0100412U		PUBLIC	44	Grand-Est
yes	no	no	REIMS	99 rue Thiers	Ecole maternelle Auguste Renoir 		10120	Saint-André-les-Vergers						136.0			0100465B		PUBLIC	44	Grand-Est
yes	yes	no	RENNES	3 avenue de la Mare Guesclin	Ecole maternelle Les Colombes 		35230	Saint-Erblon						101.0	102.0		0351787C		PUBLIC	53	Bretagne
yes	yes	no	RENNES	14 rue de la Dussetière	Ecole maternelle Montaubert 		35133	Lécousse						81.0	76.0		0352095M		PUBLIC	53	Bretagne
yes	no	no	ORLEANS-TOURS	8 rue François Habert	Ecole maternelle FranE£ois Habert 		36100	Issoudun						62.0			0360241S		PUBLIC	24	Centre-Val-de-Loire
yes	yes	no	ORLEANS-TOURS	4 rue de l'Ecole	Ecole de Sazeray 		36160	Sazeray						16.0	13.0		0360484F		PUBLIC	24	Centre-Val-de-Loire
yes	no	no	RENNES	Rue de Gwaremm Zu	Ecole maternelle Bourg 		29920	Névez						58.0			0292028X		PUBLIC	53	Bretagne
yes	no	no	POITIERS	Rue Nicolas de Largilliére	Ecole maternelle Gaston Balande 		17000	La Rochelle						60.0			0170436G		PUBLIC	75	Nouvelle-Aquitaine
yes	no	no	GUADELOUPE	Boulevard Chanzy	Ecole maternelle Cideme Salvator 		97110	Pointe-à-Pitre						50.0			9710152N		PUBLIC	1	Guadeloupe
yes	yes	no	GUADELOUPE	Cadenet	Ecole maternelle Laurette Vitalle 		97160	Le Moule						110.0	55.0		9710389W		PUBLIC	1	Guadeloupe
yes	yes	no	GUADELOUPE	Rue Evremont Gène	Ecole maternelle Amédée Fengarol 		97131	Petit-Canal						98.0	115.0		9710492H		PUBLIC	1	Guadeloupe
yes	no	no	GUADELOUPE	Rue Victor Hugo	Ecole maternelle Paul Lacavé 		97180	Sainte-Anne						50.0			9710497N		PUBLIC	1	Guadeloupe
yes	no	no	MONTPELLIER	6 rue Déodat de Séverac	Ecole maternelle Paul Lacombe 		11000	Carcassonne						29.0			0110176G		PUBLIC	76	Occitanie
yes	no	no	MONTPELLIER	Place de l'Hôtel de Ville	Ecole maternelle Trebes Ville 		11800	Trèbes						27.0			0110651Y		PUBLIC	76	Occitanie
yes	no	no	GRENOBLE	Boulevard Henri Dunant	Ecole maternelle Ninon Vallin 		26100	Romans-sur-Isère						65.0			0260940F		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	no	no	GRENOBLE	1 rue Maurice Ravel	Ecole maternelle Maurice Ravel 		26000	Valence						63.0			0261028B		PUBLIC	84	Auvergne-et-Rhône-Alpes
yes	yes	no	ROUEN	2 rue Saint-Barthélémy	Ecole élémentaire de Thomer-la-Sôgne 		27240	Thomer-la-Sôgne						27.0	26.0		0270863S		PUBLIC	28	Normandie
yes	no	no	NANCY-METZ	55 rue Principale	Ecole élémentaire Le Cèdre Bleu 		57420	Coin-lès-Cuvry						9.0			0571959V		PUBLIC	44	Grand-Est
yes	yes	no	NANCY-METZ	13 rue Christian Pfister	Ecole maternelle Sablon Au pommier Rose 		57000	Metz						122.0	114.0		0572137N		PUBLIC	44	Grand-Est
yes	yes	no	NANCY-METZ	23 rue Principale	Ecole élémentaire d'Heining-lès-Bouzonville 		57320	Heining-lès-Bouzonville						12.0	12.0		0572314F		PUBLIC	44	Grand-Est
yes	no	no	STRASBOURG	1 rue de l'Ecole	Ecole de la Walck 		67350	La Walck						116.0			0671974G		PUBLIC	44	Grand-Est
